klient_id,imie,nazwisko,Płeć,telefon,email,kontakt_rodzinny,kontakt_rodzinny_telefon,adres_id
117,Klaudia,Wojda,K,+48 753 456 789,dpapen38@facebook.com,Matka,+48 756 789 012,204
118,Karolina,Wojciechowska,K,+48 701 234 567,gmcdougald39@dagondesign.com,Matka,+48 755 678 901,132
119,Tomasz,Augustyniak,M,+48 713 456 789,bcuckson3a@illinois.edu,Ojciec,+48 811 234 567,161
120,Mariusz,Zawisza,M,+48 776 789 012,rleffek3b@pen.io,Matka,+48 836 789 012,167
121,Paulina,Piątek,K,+48 744 567 890,rledwich3c@netvibes.com,Brat,+48 739 012 345,158
122,Marta,Filipowicz,K,+48 732 345 678,shardey3d@mit.edu,Brat,+48 738 901 234,109
123,Łukasz,Gajewski,M,+48 707 890 123,flangstrath3e@elegantthemes.com,Brat,+48 870 123 456,45
124,Aleksandra,Stolarz,K,+48 707 890 123,bturbitt3f@webnode.com,Siostra,+48 802 345 678,108
125,Andrzej,Lisowski,M,+48 772 345 678,dbartoli3g@redcross.org,Brat,+48 803 456 789,130
126,Ewa,Ślusarczyk,K,+48 732 345 678,lluffman3h@w3.org,Dziadek,+48 861 234 567,123
127,Wojciech,Kotowski,M,+48 767 890 123,srankine3i@timesonline.co.uk,Siostra,+48 839 012 345,89
128,Adam,Tomczak,M,+48 753 456 789,elathey3j@loc.gov,Babcia,+48 830 123 456,10
129,Paweł,Szewczyk,M,+48 679 012 345,kalbisser3k@usatoday.com,Ojciec,+48 754 567 890,36
130,Marcin,Rutkowski,M,+48 725 678 901,cborchardt3l@ustream.tv,Ojciec,+48 845 678 901,102
131,Grzegorz,Cieślak,M,+48 706 789 012,keveriss3m@nytimes.com,Ojciec,+48 836 789 012,85
132,Andrzej,Kozak,M,+48 700 123 456,bdubarry3n@seesaa.net,Wujek,+48 859 012 345,84
133,Ewa,Wojciechowska,K,+48 792 345 678,aweatherhogg3o@ning.com,Siostra,+48 870 123 456,72
134,Agnieszka,Morawska,K,+48 740 123 456,ttowell3p@freewebs.com,Wujek,+48 831 234 567,147
135,Jakub,Jaworski,M,+48 753 456 789,nspain3q@blogtalkradio.com,Matka,+48 804 567 890,54
136,Paweł,Górski,M,+48 767 890 123,nkaysor3r@senate.gov,Brat,+48 857 890 123,78
137,Michał,Błaszczyk,M,+48 799 012 345,cgush3s@pcworld.com,Ojciec,+48 779 012 345,13
138,Karolina,Marek,K,+48 681 234 567,bpoff3t@icq.com,Ojciec,+48 818 901 234,126
139,Grzegorz,Wojda,M,+48 602 345 678,cclemencon3u@cnbc.com,Brat,+48 775 678 901,16
140,Michał,Podgórski,M,+48 612 345 678,kmonnoyer3v@domainmarket.com,Wujek,+48 756 789 012,185
141,Zofia,Czerwińska,K,+48 689 012 345,dyarker3w@amazon.de,Brat,+48 877 890 123,51
142,Beata,Ślusarczyk,K,+48 731 234 567,nangrave3x@tripod.com,Ojciec,+48 857 890 123,152
143,Jakub,Kalinowski,M,+48 755 678 901,mburroughes3y@soup.io,Ciocia,+48 739 012 345,68
144,Mateusz,Ślusarczyk,M,+48 734 567 890,ykoenraad3z@twitter.com,Matka,+48 830 123 456,162
145,Anna,Piekarska,K,+48 672 345 678,vtschiersch40@github.io,Matka,+48 861 234 567,73
146,Michał,Malinowski,M,+48 658 901 234,ppiper41@addtoany.com,Siostra,+48 835 678 901,44
147,Karolina,Kosińska,K,+48 703 456 789,jsimpkin42@mashable.com,Matka,+48 857 890 123,60
148,Piotr,Rak,M,+48 756 789 012,bdike43@blogs.com,Matka,+48 702 345 678,88
149,Agnieszka,Bielecka,K,+48 664 567 890,fsacks44@nps.gov,Brat,+48 790 123 456,159
150,Krzysztof,Tomaszewski,M,+48 689 012 345,agentric45@devhub.com,Wujek,+48 877 890 123,59
151,Marta,Kurpiński,K,+48 724 567 890,ffavel46@pbs.org,Brat,+48 781 234 567,32
152,Tomasz,Woźniak,M,+48 716 789 012,wsends47@lycos.com,Ojciec,+48 877 890 123,117
153,Ewa,Piętak,K,+48 727 890 123,ndomengue48@google.nl,Siostra,+48 751 234 567,92
154,Paweł,Wróbel,M,+48 681 234 567,lhurry49@ask.com,Siostra,+48 860 123 456,52
155,Joanna,Piasecka,K,+48 730 123 456,divatt4a@naver.com,Siostra,+48 705 678 901,170
156,Andrzej,Bartosz,M,+48 705 678 901,sburd4b@bloglines.com,Siostra,+48 705 678 901,69
157,Zuzanna,Pawlak,K,+48 682 345 678,hsowersby4c@house.gov,Siostra,+48 718 901 234,41
158,Adam,Nowak,M,+48 709 012 345,tamber4d@biglobe.ne.jp,Matka,+48 788 901 234,192
159,Katarzyna,Kowalska,K,+48 783 456 789,ttodeo4e@github.com,Ojciec,+48 710 123 456,124
160,Jakub,Wiśniewski,M,+48 719 012 345,cskelington4f@etsy.com,Ciocia,+48 861 234 567,141
161,Alicja,Wójcik,K,+48 738 901 234,bhasnney4g@ehow.com,Siostra,+48 823 456 789,155
162,Paweł,Kowalczyk,M,+48 750 123 456,espiers4h@nhs.uk,Dziadek,+48 804 567 890,187
163,Magdalena,Kamińska,K,+48 747 890 123,omillin4i@deliciousdays.com,Wujek,+48 889 012 345,37
164,Tomasz,Lewandowski,M,+48 745 678 901,kcockell4j@omniture.com,Matka,+48 741 234 567,96
165,Monika,Zieliński,K,+48 725 678 901,smaccague4k@cnet.com,Matka,+48 832 345 678,21
166,Piotr,Szymański,M,+48 701 234 567,cstanlick4l@army.mil,Ciocia,+48 791 234 567,95
167,Julia,Woźniak,K,+48 713 456 789,sholleworth4m@vimeo.com,Siostra,+48 704 567 890,116
168,Michał,Kwiatkowski,M,+48 748 901 234,adeclerq4n@photobucket.com,Wujek,+48 877 890 123,172
169,Aleksandra,Zielinska,K,+48 758 901 234,hdevanny4o@businesswire.com,Brat,+48 855 678 901,42
170,Piotr,Tyl,M,+48 681 234 567,mlounds4p@mapy.cz,Siostra,+48 861 234 567,154
171,Agnieszka,Dąbrowska,K,+48 762 345 678,cdowty4q@theguardian.com,Wujek,+48 701 234 567,166
172,Damian,Piotrowski,M,+48 649 012 345,vkisby4r@g.co,Ojciec,+48 819 012 345,119
173,Barbara,Grabowska,K,+48 792 345 678,dwanden4s@techcrunch.com,Ojciec,+48 702 345 678,107
174,Grzegorz,Nowakowski,M,+48 762 345 678,baistrop4t@cbslocal.com,Matka,+48 765 678 901,20
175,Magdalena,Zając,K,+48 725 678 901,tknowlden4u@sbwire.com,Ojciec,+48 834 567 890,67
176,Mariusz,Pawlak,M,+48 777 890 123,eeddowes4v@ning.com,Matka,+48 871 234 567,74
177,Łukasz,Adamczyk,M,+48 790 123 456,agilpillan4w@flavors.me,Dziadek,+48 827 890 123,48
178,Katarzyna,Kucharska,K,+48 785 678 901,broke4x@vkontakte.ru,Brat,+48 834 567 890,202
179,Kamil,Majewski,M,+48 677 890 123,dwhitmore4y@ft.com,Brat,+48 862 345 678,156
180,Agata,Kaczmarek,K,+48 705 678 901,jgeertz4z@barnesandnoble.com,Siostra,+48 832 345 678,15
181,Łukasz,Krawczyk,M,+48 742 345 678,vfaye50@opera.com,Ojciec,+48 808 901 234,17
182,Dorota,Sienkiewicz,K,+48 792 345 678,cmound51@wordpress.org,Ojciec,+48 872 345 678,149
183,Damian,Jankowski,M,+48 757 890 123,kkollas52@oakley.com,Matka,+48 836 789 012,57
184,Piotr,Król,M,+48 723 456 789,afleckney53@photobucket.com,Dziadek,+48 738 901 234,164
185,Marcin,Chmiel,M,+48 717 890 123,fbufton54@nhs.uk,Matka,+48 855 678 901,49
186,Adam,Lis,M,+48 663 456 789,bbonehill55@ovh.net,Dziadek,+48 861 234 567,23
187,Dorota,Wojciechowska,K,+48 747 890 123,psmedmoor56@hugedomains.com,Ojciec,+48 858 901 234,208
188,Jakub,Pawłowski,M,+48 702 345 678,dlashmore57@furl.net,Matka,+48 845 678 901,138
189,Paweł,Stolarz,M,+48 635 678 901,lseymour58@etsy.com,Matka,+48 762 345 678,26
190,Wojciech,Dudek,M,+48 790 123 456,gfoxley59@fastcompany.com,Ojciec,+48 880 123 456,191
191,Łukasz,Michalski,M,+48 770 123 456,lgiovannacci5a@sogou.com,Siostra,+48 739 012 345,46
192,Marta,Król,K,+48 731 234 567,dshoutt5b@arstechnica.com,Dziadek,+48 878 901 234,133
193,Mariusz,Górski,M,+48 773 456 789,tsummerill5c@mashable.com,Ojciec,+48 869 012 345,31
194,Patrycja,Wróbel,K,+48 733 456 789,jduffree5d@lulu.com,Ciocia,+48 802 345 678,110
195,Joanna,Czerwińska,K,+48 779 012 345,rhewson5e@timesonline.co.uk,Matka,+48 800 123 456,99
196,Daniel,Ślusarczyk,M,+48 712 345 678,mkaines5f@prweb.com,Matka,+48 861 234 567,122
197,Robert,Kasprzak,M,+48 765 678 901,bconeron5g@ask.com,Brat,+48 860 123 456,104
198,Karol,Kaczmarek,M,+48 764 567 890,drenackowna5h@cnbc.com,Ojciec,+48 700 123 456,101
199,Klaudia,Kwiatkowska,K,+48 742 345 678,hrawlingson5i@storify.com,Matka,+48 706 789 012,137
200,Beata,Bąk,K,+48 724 567 890,eguntrip5j@meetup.com,Brat,+48 711 234 567,86
